4.476273,1.53,1.786331,90,142.2184
4.440402,1.53,1.820855,73.5895,158.3695
4.486323,1.53,1.779585,9.713453,138.3037
4.501645,1.53,1.771065,7.059496,132.6329
4.597056,1.53,1.753622,10.84115,100.866
4.631654,1.53,1.760495,19.29341,89.4416
5.332121,1.53,2.105112,348.5052,64.06445
7.111721,1.53,3.10112,348.3389,59.89345
9.549643,1.53,3.9651,3.884372,75.07983
12.03433,1.53,4.718062,21.51024,72.79197
14.03312,1.53,5.337097,21.51024,72.79197
16.37541,1.53,6.850491,18.09257,46.11395
17.68092,1.53,8.341984,6.493581,34.9356
18.1982,1.53,9.292151,4.842933,22.6197
18.85148,1.53,11.50363,5.505915,12.86543
18.97726,1.53,14.03187,12.03637,354.5528
17.68734,1.53,16.6012,9.395257,321.3736
16.53301,1.53,18.81244,7.047309,344.3914
16.6405,1.53,21.49289,6.079147,26.68436
18.53158,1.53,23.5852,5.811483,56.14678
20.94932,1.53,24.25728,6.652398,88.69917
23.49445,1.53,23.57867,11.1241,111.5337
25.64322,2.764228,22.73079,11.74362,111.5337
27.89843,4.574794,21.84127,16.86633,111.1441
30.17885,5.820032,20.94156,24.00756,111.0258
32.28497,6.448401,20.1105,24.13138,111.0258
34.4637,6.569437,19.25298,22.90233,108.8943
37.03665,6.038171,18.26392,1.808459,91.80989
39.25916,4.979945,17.39273,357.9305,88.9483
41.58475,3.284292,16.48821,359.4832,83.03765
43.79402,1.53,15.82432,0.6972932,80.16771
46.19415,1.53,16.3855,2.898925,72.18334
48.43851,1.53,17.24001,4.281961,68.04709
50.5438,1.53,18.1221,4.281961,66.38084
52.70446,1.53,19.1676,5.308572,61.94165
54.91227,1.53,20.62208,5.868834,53.6675
56.88499,1.53,22.32931,5.653304,39.15794
58.06913,1.53,24.91157,9.082869,15.17247
58.22389,1.53,26.27498,11.0615,4.751683
56.43531,1.53,25.94707,13.3152,337.0605
55.86505,1.53,25.96539,14.55626,303.1039
55.93221,1.53,25.79865,5.655022,270.1192
56.13586,1.53,23.70877,4.452323,258.466
55.92703,1.53,21.74196,5.715243,233.7145
54.2871,1.53,19.79906,4.947426,198.6921
52.49178,1.53,18.32385,0.4102497,169.2818
51.61698,1.53,16.40391,0.5135037,169.1643
51.35392,1.53,14.36327,15.60065,203.3621
51.22072,1.53,14.07617,326.9977,212.7151
51.36831,1.53,14.20213,323.3681,279.1068
51.43489,1.53,14.19798,327.4565,300.8065
51.49431,1.53,14.17016,335.6603,322.1414
