Rotation_x , Rotation_y
358.0996,211.8338
358.0996,212.9566
358.0996,213.5278
358.0996,214.5611
358.0996,215.8946
358.0996,217.9192
358.0996,219.3196
358.0996,219.0248
358.0996,218.3596
358.0996,217.0596
358.0996,215.4909
358.0996,213.0886
358.0996,210.8808
358.0996,208.0446
358.0996,205.6371
358.0996,203.4057
358.0996,201.2936
358.0996,198.9192
358.0996,196.844
358.0996,194.3887
358.0996,192.3329
358.0996,189.9039
358.0996,187.8659
358.0996,185.4155
358.0996,183.423
358.0996,180.9589
358.0996,178.7156
358.0996,176.0686
358.0996,173.8271
358.0996,171.4544
358.0996,169.3588
358.0996,166.7759
358.0996,164.6053
358.0996,162.1485
358.0996,160.0542
358.0996,157.4705
358.0996,155.2893
358.0996,152.8524
358.0996,150.7229
358.0996,148.1404
358.0996,145.9888
358.0996,143.5873
358.0996,141.458
358.0996,138.8697
358.0996,136.7807
358.0996,133.9657
358.0996,131.6677
358.0996,128.9745
358.0996,126.7536
358.0996,124.3448
358.0996,122.3538
358.0996,119.8809
358.0996,117.6817
358.0996,115.018
358.0996,112.9075
358.0996,110.4295
358.0996,108.378
358.0996,105.9293
358.0996,103.8557
358.0996,101.4856
358.0996,99.30809
358.0996,96.90696
358.0996,94.87723
358.0996,92.4567
358.0996,90.30884
358.0996,87.88947
358.0996,85.66573
358.0996,83.02735
358.0996,80.87079
358.0996,78.40221
358.0996,76.25584
358.0996,73.79152
358.0996,71.64805
358.0996,69.14164
358.0996,66.86888
358.0996,64.48075
358.0996,62.25155
358.0996,59.7397
358.0996,57.61478
358.0996,54.95103
358.0996,52.77673
358.0996,50.20435
358.0996,47.70485
358.0996,45.53328
358.0996,42.95662
358.0996,40.74072
358.0996,38.28006
358.0996,36.21519
358.0996,33.8548
358.0996,31.54891
358.0996,29.43002
358.0996,28.21507
358.0996,27.44729
358.0996,27.65795
358.0996,28.23403
358.0996,29.65519
358.0996,31.20444
358.0996,33.55799
358.0996,35.52086
358.0996,37.79442
358.0996,39.83322
358.0996,42.43866
358.0996,44.67048
358.0996,47.22118
358.0996,49.47016
358.0996,52.10548
358.0996,54.20267
358.0996,56.82909
358.0996,59.05883
358.0996,61.54495
358.0996,63.69158
358.0996,66.16589
358.0996,68.36296
358.0996,70.77837
358.0996,72.86624
358.0996,75.29066
358.0996,77.41203
358.0996,79.88083
358.0996,82.06783
358.0996,84.44468
358.0996,86.53056
358.0996,88.9794
358.0996,91.073
358.0996,93.47179
358.0996,95.66634
358.0996,98.04111
358.0996,100.107
358.0996,102.5202
358.0996,104.7879
358.0996,107.3785
358.0996,109.6102
358.0996,112.0733
358.0996,114.1423
358.0996,116.6312
358.0996,118.7257
358.0996,121.1835
358.0996,123.2547
358.0996,125.8332
358.0996,127.8992
358.0996,130.3119
358.0996,132.3855
358.0996,134.8846
358.0996,136.9932
358.0996,139.5266
358.0996,141.5826
358.0996,143.9847
358.0996,146.0376
358.0996,148.5413
358.0996,150.7797
358.0996,153.4583
358.0996,155.6418
358.0996,158.109
358.0996,160.2115
358.0996,162.7176
358.0996,164.7866
358.0996,167.2004
358.0996,169.3166
358.0996,171.8072
358.0996,173.9772
358.0996,176.4406
358.0996,178.5144
358.0996,180.8975
358.0996,182.933
358.0996,185.3963
358.0996,187.4361
358.0996,189.7627
358.0996,191.7908
358.0996,194.2377
358.0996,195.9003
358.0996,198.1378
358.0996,200.0934
358.0996,202.3654
358.0996,203.7864
358.0996,204.1948
358.0996,203.7618
358.0996,202.6881
358.0996,201.2868
358.0996,199.2077
358.0996,197.227
358.0996,194.883
358.0996,192.722
358.0996,190.3419
358.0996,188.2133
358.0996,185.5958
358.0996,183.4864
358.0996,181.0772
358.0996,178.9753
358.0996,176.5276
358.0996,174.4251
358.0996,172.028
358.0996,169.84
358.0996,167.3859
358.0996,165.3329
358.0996,163.003
358.0996,160.8575
358.0996,158.4469
358.0996,156.3632
358.0996,153.9094
358.0996,151.4418
358.0996,149.0359
358.0996,147.0477
358.0996,144.639
358.0996,142.5675
358.0996,140.1051
358.0996,138.0831
358.0996,135.6655
358.0996,133.5883
358.0996,131.58
358.0996,128.4651
358.0996,126.049
358.0996,123.9483
358.0996,121.4719
358.0996,119.1733
358.0996,116.3883
358.0996,114.3361
358.0996,111.898
358.0996,109.702
358.0996,107.1986
358.0996,104.9858
358.0996,102.4809
358.0996,100.3519
358.0996,97.94728
358.0996,95.82207
358.0996,93.38831
358.0996,91.1521
358.0996,88.76587
358.0996,86.69768
358.0996,84.19774
358.0996,82.14126
358.0996,79.75146
358.0996,77.59636
358.0996,75.13629
358.0996,73.08654
358.0996,70.63667
358.0996,68.50153
358.0996,66.09713
358.0996,63.85965
358.0996,61.36076
358.0996,59.25942
358.0996,56.81173
358.0996,54.73104
358.0996,52.31982
358.0996,50.09798
358.0996,47.70287
358.0996,45.62821
358.0996,43.20596
358.0996,41.19027
358.0996,38.81482
358.0996,36.55935
358.0996,34.12378
358.0996,32.04532
358.0996,29.63656
358.0996,27.59871
358.0996,25.76994
358.0996,24.57107
358.0996,23.91162
358.0996,24.15523
358.0996,24.96742
358.0996,26.20072
358.0996,28.09514
358.0996,30.28237
358.0996,32.67854
358.0996,34.68389
358.0996,37.10195
358.0996,39.25257
358.0996,41.75043
358.0996,43.85923
358.0996,46.36541
358.0996,48.54159
358.0996,50.99333
358.0996,53.13171
358.0996,55.55159
358.0996,57.66113
358.0996,60.12995
358.0996,62.36562
358.0996,64.83524
358.0996,66.95763
358.0996,69.42561
358.0996,71.55484
358.0996,74.0941
358.0996,76.26894
358.0996,78.66376
358.0996,80.74195
358.0996,82.75874
358.0996,85.09367
358.0996,87.20159
358.0996,89.65849
358.0996,91.76855
358.0996,94.26932
358.0996,96.38161
358.0996,98.77119
358.0996,100.974
358.0996,103.4719
358.0996,105.68
358.0996,108.0967
358.0996,110.1238
358.0996,112.4631
358.0996,114.5281
358.0996,116.9913
358.0996,119.1202
358.0996,121.66
358.0996,123.7338
358.0996,126.1975
358.0996,128.3407
358.0996,130.7446
358.0996,132.8527
358.0996,135.297
358.0996,137.477
358.0996,139.8978
358.0996,141.9585
358.0996,144.2612
358.0996,146.3068
358.0996,148.7301
358.0996,150.8651
358.0996,153.5191
358.0996,155.5988
358.0996,157.9997
358.0996,160.1277
358.0996,162.5342
358.0996,164.6059
358.0996,167.0407
358.0996,169.1608
358.0996,171.7211
358.0996,173.8183
358.0996,176.3145
358.0996,178.3334
358.0996,180.6646
358.0996,182.2642
358.0996,183.7883
358.0996,185.314
358.0996,187.7699
358.0996,189.7502
358.0996,192.1365
358.0996,193.5623
358.0996,193.2965
358.0996,192.6482
358.0996,191.3645
358.0996,189.7679
358.0996,187.4528
358.0996,185.4414
358.0996,183.4297
358.0996,180.9189
358.0996,178.8809
358.0996,176.3017
358.0996,174.2265
358.0996,171.6864
358.0996,169.6419
358.0996,167.1697
358.0996,165.0687
358.0996,162.5287
358.0996,160.4166
358.0996,157.906
358.0996,155.8145
358.0996,153.204
358.0996,150.642
358.0996,148.4888
358.0996,146.0229
358.0996,143.8883
358.0996,141.3547
358.0996,139.2264
358.0996,136.5696
358.0996,134.4536
358.0996,131.9886
358.0996,129.9599
358.0996,127.5342
358.0996,125.4259
358.0996,122.9249
358.0996,120.8878
358.0996,118.8054
358.0996,116.3648
358.0996,114.2246
358.0996,111.793
358.0996,109.6197
358.0996,107.2345
358.0996,105.2154
358.0996,102.7611
358.0996,100.656
358.0996,98.25395
358.0996,96.04608
358.0996,93.62592
358.0996,91.48418
358.0996,89.08914
358.0996,87.00493
358.0996,84.59161
358.0996,82.37084
358.0996,79.88843
358.0996,77.79849
358.0996,75.26348
358.0996,73.18015
358.0996,70.78465
358.0996,68.58273
358.0996,65.87121
358.0996,63.43317
358.0996,60.79443
358.0996,58.36095
358.0996,56.25185
358.0996,53.63822
358.0996,51.54831
358.0996,49.13119
358.0996,47.03631
358.0996,44.652
358.0996,42.4799
358.0996,40.12683
358.0996,37.9035
358.0996,35.52322
358.0996,33.52081
358.0996,31.70294
358.0996,31.02713
358.0996,31.54771
358.0996,32.49288
358.0996,34.22218
358.0996,36.03712
358.0996,38.10107
358.0996,40.514
358.0996,42.49753
358.0996,44.93555
358.0996,47.01313
358.0996,49.55546
358.0996,51.66687
358.0996,54.11936
358.0996,56.10142
358.0996,58.55278
358.0996,60.70726
358.0996,63.17384
358.0996,65.29237
358.0996,67.70991
358.0996,69.87125
358.0996,72.35927
358.0996,74.42339
358.0996,76.85564
358.0996,78.95444
358.0996,81.42059
358.0996,83.4672
358.0996,85.95833
358.0996,88.00945
358.0996,90.51662
358.0996,92.58155
358.0996,94.96315
358.0996,97.14688
358.0996,99.59122
358.0996,101.6694
358.0996,104.1124
358.0996,106.1543
358.0996,108.4947
358.0996,110.58
358.0996,113.2691
358.0996,115.3655
358.0996,117.9401
358.0996,119.9705
358.0996,122.3718
358.0996,124.5743
358.0996,127.0545
358.0996,129.105
358.0996,131.4895
358.0996,133.5676
358.0996,136.0821
358.0996,138.1301
358.0996,140.4753
358.0996,142.5012
358.0996,144.9221
358.0996,146.9956
358.0996,149.5502
358.0996,151.6174
358.0996,154.06
358.0996,156.1593
358.0996,158.5247
358.0996,160.7022
358.0996,163.0902
358.0996,165.1244
358.0996,167.5347
358.0996,169.5728
358.0996,171.5966
358.0996,174.2148
358.0996,176.2665
358.0996,178.7032
358.0996,180.5597
358.0996,181.8231
358.0996,181.277
358.0996,180.3608
358.0996,178.8413
358.0996,177.0487
358.0996,174.6958
358.0996,172.6109
358.0996,170.4071
358.0996,168.0242
358.0996,165.895
358.0996,163.4869
358.0996,161.412
358.0996,159.0259
358.0996,156.8059
358.0996,154.4348
358.0996,152.2801
358.0996,149.8312
358.0996,147.7405
358.0996,145.2652
358.0996,143.0791
358.0996,140.7134
358.0996,138.6312
358.0996,136.2256
358.0996,134.0328
358.0996,131.5978
358.0996,129.3467
358.0996,126.8234
358.0996,124.7543
358.0996,122.2745
358.0996,120.065
358.0996,117.4689
358.0996,115.3851
358.0996,112.8276
358.0996,110.7138
358.0996,108.2077
358.0996,106.11
358.0996,103.6737
358.0996,101.3241
358.0996,98.70065
358.0996,96.46513
358.0996,94.0674
358.0996,91.94311
358.0996,89.53595
358.0996,87.40929
358.0996,84.95924
358.0996,82.93351
358.0996,80.47449
358.0996,78.38139
358.0996,75.86285
358.0996,73.68329
358.0996,71.21072
358.0996,68.93819
358.0996,66.4388
358.0996,64.33351
358.0996,61.93759
358.0996,59.86569
358.0996,57.2552
358.0996,55.15646
358.0996,52.52729
358.0996,50.36261
358.0996,47.97717
358.0996,45.83268
358.0996,43.35113
358.0996,41.25682
358.0996,38.97609
358.0996,37.64104
358.0996,36.60692
358.0996,36.1758
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.13481
358.0996,36.26393
358.0996,36.9403
358.0996,37.98409
358.0996,39.655
358.0996,41.68606
358.0996,44.1422
358.0996,46.26405
358.0996,48.68158
358.0996,50.84242
358.0996,53.24649
358.0996,55.33761
358.0996,57.91358
358.0996,59.97276
358.0996,62.35225
358.0996,64.72325
358.0996,67.20284
358.0996,69.23299
358.0996,71.70243
358.0996,73.94463
358.0996,76.35975
358.0996,78.25783
358.0996,80.14815
358.0996,82.07408
358.0996,84.36021
358.0996,86.11357
358.0996,87.56714
358.0996,88.33694
358.0996,88.70766
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.71091
358.0996,88.79195
358.0996,89.245
358.0996,90.35103
358.0996,91.74522
358.0996,93.87994
358.0996,95.91103
358.0996,98.33961
358.0996,100.3863
358.0996,102.8908
358.0996,104.9172
358.0996,107.3643
358.0996,110.6645
358.0996,113.795
358.0996,116.4857
358.0996,118.8175
358.0996,121.2636
358.0996,123.4328
358.0996,126.047
358.0996,128.1765
358.0996,130.6962
358.0996,132.8063
358.0996,135.3097
358.0996,137.3618
358.0996,139.7865
358.0996,142.2903
358.0996,144.9797
358.0996,147.142
358.0996,149.6703
358.0996,151.8407
358.0996,154.7573
358.0996,157.4654
358.0996,159.2013
358.0996,160.6747
358.0996,161.3434
358.0996,161.4528
358.0996,161.4528
358.0996,161.4528
358.0996,161.4528
358.0996,161.4691
358.0996,161.7986
358.0996,162.7538
358.0996,163.9941
358.0996,165.9347
358.0996,168.1304
358.0996,170.4903
358.0996,172.56
358.0996,174.9889
358.0996,176.8678
358.0996,178.2798
358.0996,178.9085
358.0996,179.0757
358.0996,179.0757
358.0996,179.0757
358.0996,179.0757
358.0996,179.0757
358.0996,179.0757
358.0996,179.5017
358.0996,180.4824
358.0996,181.4636
358.0996,181.7414
358.0996,181.7455
358.0996,181.7455
358.0996,181.7455
358.0996,181.8634
358.0996,182.3784
358.0996,183.5262
358.0996,184.9974
358.0996,187.1535
358.0996,189.1175
358.0996,190.9074
358.0996,191.9863
358.0996,192.2399
358.0996,192.2399
358.0996,192.2399
358.0996,192.2399
358.0996,192.1266
358.0996,191.6121
358.0996,190.378
358.0996,188.9539
358.0996,186.7035
358.0996,184.7409
358.0996,182.3602
358.0996,180.1562
358.0996,177.6886
358.0996,175.4603
358.0996,173
358.0996,170.892
358.0996,168.1312
358.0996,166.0431
358.0996,163.6452
358.0996,161.6647
358.0996,159.0538
358.0996,156.9481
358.0996,154.3675
358.0996,152.2783
358.0996,149.8324
358.0996,147.7808
358.0996,145.3251
358.0996,143.1688
358.0996,140.8086
358.0996,138.723
358.0996,136.2446
358.0996,134.1301
358.0996,131.6937
358.0996,129.5634
358.0996,127.0317
358.0996,124.9301
358.0996,122.387
358.0996,120.2469
358.0996,117.6334
358.0996,115.5565
358.0996,113.1395
358.0996,111.0606
358.0996,108.5462
358.0996,106.4485
358.0996,103.8657
358.0996,101.7349
358.0996,99.23312
358.0996,97.12341
358.0996,94.58299
358.0996,92.36822
358.0996,89.65728
358.0996,87.48333
358.0996,84.90323
358.0996,82.7027
358.0996,80.29327
358.0996,78.23492
358.0996,75.71354
358.0996,73.65679
358.0996,71.33438
358.0996,69.83607
358.0996,68.65704
358.0996,68.10854
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,68.0098
358.0996,67.93161
358.0996,67.43712
358.0996,66.28995
358.0996,64.81705
358.0996,62.66846
358.0996,60.62075
358.0996,58.17132
358.0996,55.94422
358.0996,53.28972
358.0996,50.84856
358.0996,48.29948
358.0996,46.10403
358.0996,43.58401
358.0996,41.46428
358.0996,38.97864
358.0996,36.91647
358.0996,34.77544
358.0996,33.40443
358.0996,32.46277
358.0996,32.3271
358.0996,32.88612
358.0996,33.89972
358.0996,35.58237
358.0996,37.45106
358.0996,39.82148
358.0996,41.9128
358.0996,44.28282
358.0996,46.376
358.0996,49.13661
358.0996,51.25462
358.0996,53.57066
358.0996,55.67918
358.0996,58.08704
358.0996,60.16455
358.0996,62.77163
358.0996,64.84666
358.0996,67.28684
358.0996,69.44282
358.0996,71.91203
358.0996,74.15861
358.0996,76.58303
358.0996,78.69222
358.0996,81.15582
358.0996,83.21489
358.0996,85.03345
358.0996,85.97178
358.0996,86.48788
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
358.0996,86.5425
